Код дефекта по каталогу;Группа;Название дефекта;Примечание;ед. изм.;нижняя граница;верхняя граница;Категории дефекта (Б);Категории дефекта (Д);Категории дефекта (Р);Категории дефекта (Г);Рекомендуемые дополняющие пояснения и параметры дефекта в фактических единицах или в % к размерам носителя дефекта;Материал элемента, конструкции носителя дефекта, причина появления и другие дополнительные пояснения к названию дефекта;Место расположения дефекта;Количественные параметры развития;Базовый
13;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит приближения конструкций для пересекаемой железной дороги не соответствует нормам;Отношение фактического значения к нормативному;доля;0,99;;1;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
13;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит приближения конструкций для пересекаемой железной дороги не соответствует нормам;Отношение фактического значения к нормативному;доля;0,97;0,99;2;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
13;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит приближения конструкций для пересекаемой железной дороги не соответствует нормам;Отношение фактического значения к нормативному;доля;0,8;0,97;3;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
14;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит приближения конструкций для пересекаемого скотопрогона не соответствует нормам;Отношение фактического значения к нормативному;доля;0,95;;0;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
14;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит приближения конструкций для пересекаемого скотопрогона не соответствует нормам;Отношение фактического значения к нормативному;доля;;0,95;1;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
15;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Без конкретизации степени развития;;;;;0;0;3;0;Пояснение перспективы развития;;Автодорожный мостовой переход, Пешеходный мост;;0
16;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит подмостовой для судоходных пролетов не соответствует нормам;Отношение фактического значения к нормативному;доля;0,99;;1;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
16;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит подмостовой для судоходных пролетов не соответствует нормам;Отношение фактического значения к нормативному;доля;0,97;0,99;2;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
16;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит подмостовой для судоходных пролетов не соответствует нормам;Отношение фактического значения к нормативному;доля;0,8;0,97;3;0;3;0;Фактическое значение параметра;;Автодорожный мостовой переход, Пешеходный мост;;0
17;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит по высоте прохожей части менее 2.5 м;Отношение фактического значения к нормативному;доля;0,8;;1;0;3;0;Величина фактического габарита;;Автодорожный мостовой переход, Пешеходный мост;;0
17;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит по высоте прохожей части менее 2.5 м;Отношение фактического значения к нормативному;доля;0,75;0,8;2;0;3;0;Величина фактического габарита;;Автодорожный мостовой переход, Пешеходный мост;;0
17;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Габарит по высоте прохожей части менее 2.5 м;Отношение фактического значения к нормативному;доля;;0,75;3;0;3;0;Величина фактического габарита;;Автодорожный мостовой переход, Пешеходный мост;;0
18;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Отсутствует вертикальная разметка на конструкциях (при её необходимости);Без конкретизации степени развития;;;;1;0;1;0;Шифр разметки по ГОСТ 52289-2004;;Автодорожный мостовой переход, Пешеходный мост;;0
19;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Несоответствие нанесенной на конструкции вертикальной разметки действующим нормативным требованиям;Без конкретизации степени развития;;;;1;0;1;0;Пояснение несоответствия;;Автодорожный мостовой переход, Пешеходный мост;;0
20;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над расчетным уровнем высокой воды;Возвышение конструкции менее установленного нормами;;;;0;0;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
20;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над расчетным уровнем высокой воды;Отметка конструкции ниже расчетного уровня воды;;;;0;1;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
21;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над уровнем ледохода;Возвышение конструкции менее установленного нормами;;;;0;1;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
21;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над уровнем ледохода;Отметка конструкции ниже расчетного уровня ледохода;;;;0;2;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
22;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над уровнем наледи;Возвышение конструкции менее 1 м;;;;0;1;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
22;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над уровнем наледи;Отметка конструкции ниже верха наледи;;;;0;2;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
23;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над уровнем карчехода;Возвышение конструкции менее установленного нормами;;;;0;1;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
23;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции над уровнем карчехода;Отметка конструкции ниже расчетного уровня воды;;;;0;2;3;0;Величина несоответствия;;Пролетное строение, узел опирания, опорная часть;;0
24;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции при наличие селевых потоков;Возвышение конструкции менее установленного нормами;;;;0;1;3;0;Величина несоответствия;;Пролетное строение, Узел опирания, опорная часть;;0
24;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточное возвышение конструкции при наличие селевых потоков;Отметка конструкции ниже расчетного уровня воды;;;;0;2;3;0;Величина несоответствия;;Пролетное строение, Узел опирания, опорная часть;;0
25;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточная вертикальная жесткость конструкции;Вертикальный упругий прогиб от обращающихся нагрузок в % от расчетного пролета;%;0,25;0,4;0;1;3;0;Фактическое значение параметра;;Пролетное строение;;0
25;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточная вертикальная жесткость конструкции;Вертикальный упругий прогиб от обращающихся нагрузок в % от расчетного пролета;%;0,4;0,8;1;1;3;0;Фактическое значение параметра;;Пролетное строение;;0
25;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Недостаточная вертикальная жесткость конструкции;Вертикальный упругий прогиб от обращающихся нагрузок в % от расчетного пролета;%;0,8;;2;1;3;0;Фактическое значение параметра;;Пролетное строение;;0
26;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Несоответствие динамических характеристик конструкции действующим нормативным требованиям;Период собственных горизонтальных колебаний находится в диапазоне 0,9...1,2 с;;;;1;3;3;1;Фактическое значение параметра;;Пролетное строение;;0
26;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Несоответствие динамических характеристик конструкции действующим нормативным требованиям;Период собственных вертикальных колебаний находится в диапазоне 0,45...0,6 с;;;;1;3;3;1;Фактическое значение параметра;;Пролетное строение;;0
26;Общие дефекты мостового сооружения, габариты приближения конструкций, подмостовые габариты;Несоответствие динамических характеристик конструкции действующим нормативным требованиям;Повышенный динамический коэффициент;;;;0;2;3;1;Фактическое значение параметра;;Пролетное строение;;0
27;Деформационный шов;Отсутствует конструкция деформационного шва, предусмотренная проектом;Без угрозы безопасности движения;;;;1;3;2;0;Длина;;Деформационный шов;;0
27;Деформационный шов;Отсутствует конструкция деформационного шва, предусмотренная проектом;С угрозой безопасности движения;;;;3;3;2;0;Длина;;Деформационный шов;;0
28;Деформационный шов;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Деформационный шов;;0
28;Деформационный шов;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции ограничена;;;;1;2;2;0;Пояснение несоответствия;;Деформационный шов;;0
28;Деформационный шов;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции утрачена;;;;2;3;2;0;Пояснение несоответствия;;Деформационный шов;;0
29;Деформационный шов;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Деформационный шов;;0
29;Деформационный шов;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции ограничена;;;;1;2;2;0;Пояснение несоответствия;;Деформационный шов;;0
29;Деформационный шов;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции утрачена;;;;2;3;2;0;Пояснение несоответствия;;Деформационный шов;;0
30;Деформационный шов;Несоответствие примененных материалов действующим нормативным требованиям;Без конкретизации степени развития;;;;0;3;2;0;Пояснение несоответствия;;Деформационный шов;;0
31;Деформационный шов;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Деформационный шов;;0
31;Деформационный шов;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции ограничена;;;;1;2;2;0;Пояснение несоответствия;;Деформационный шов;;0
31;Деформационный шов;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции утрачена;;;;2;3;2;0;Пояснение несоответствия;;Деформационный шов;;0
32;Деформационный шов;Несоответствие конструкции деформационного шва диапазону возможных перемещений сопрягаемых конструкций;Работоспособность конструкции ограничена;;;;1;2;2;0;Пояснение несоответствия;;Деформационный шов;;0
32;Деформационный шов;Несоответствие конструкции деформационного шва диапазону возможных перемещений сопрягаемых конструкций;Работоспособность конструкции утрачена;;;;2;3;2;0;Пояснение несоответствия;;Деформационный шов;;0
33;Деформационный шов;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции обеспечена;;;;0;1;0;0;Название элемента, количество;;Деформационный шов;;0
33;Деформационный шов;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции ограничена;;;;1;2;2;0;Название элемента, количество;;Деформационный шов;;0
33;Деформационный шов;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции утрачена;;;;2;3;2;0;Название элемента, количество;;Деформационный шов;;0
34;Деформационный шов;Кустарная конструкция перекрытия деформационного зазора;Работоспособность конструкции обеспечена;;;;0;1;0;0;Длина;К кустарным относят конструкции, выполненные без проекта и не соответствующие ни одной типовой конструкции;Деформационный шов;;0
34;Деформационный шов;Кустарная конструкция перекрытия деформационного зазора;Работоспособность конструкции ограничена;;;;1;2;2;0;Длина;К кустарным относят конструкции, выполненные без проекта и не соответствующие ни одной типовой конструкции;Деформационный шов;;0
34;Деформационный шов;Кустарная конструкция перекрытия деформационного зазора;Работоспособность конструкции утрачена;;;;2;3;2;0;Длина;К кустарным относят конструкции, выполненные без проекта и не соответствующие ни одной типовой конструкции;Деформационный шов;;0
35;Деформационный шов;Разрушение конструкции деформационного шва;Без угрозы безопасности движения;;;;1;3;2;0;Длина пораженной части носителя дефекта;;Деформационный шов;;0
35;Деформационный шов;Разрушение конструкции деформационного шва;С угрозой безопасности движения;;;;3;3;2;0;Длина пораженной части носителя дефекта;;Деформационный шов;;0
36;Деформационный шов;Чрезмерная ширина зазора в деформационном шве открытого типа;Ширина зазора;см;6;10;1;1;2;0;Фактическое значение параметра;;Деформационный шов открытый;;0
36;Деформационный шов;Чрезмерная ширина зазора в деформационном шве открытого типа;Ширина зазора;см;10;15;2;2;2;0;Фактическое значение параметра;;Деформационный шов открытый;;0
36;Деформационный шов;Чрезмерная ширина зазора в деформационном шве открытого типа;Ширина зазора;см;15;20;3;3;2;0;Фактическое значение параметра;;Деформационный шов открытый;;0
37;Деформационный шов;Протечки через конструкции шва;Без конкретизации степени развития;;;;0;1;2;0;Длина;;Деформационный шов закрытый, заполненный мастикой, перекрытый, с полимерным компенсирующим профилем;;0
38;Деформационный шов;Расстройство заполнения деформационного зазора;Незначительное повреждение. Работоспособность конструктивного элемента сохраняется;;;;0;1;2;0;Длина пораженной части носителя дефекта;;Деформационный шов закрытый или заполненный мастикой;;0
38;Деформационный шов;Расстройство заполнения деформационного зазора;Значительное повреждение. Работоспособность конструктивного элемента утрачена;;;;0;3;2;0;Длина пораженной части носителя дефекта;;Деформационный шов закрытый или заполненный мастикой;;0
39;Деформационный шов;Расстройство поддерживающей заполнение конструкции;Незначительное повреждение. Работоспособность конструктивного элемента сохраняется;;;;0;1;2;0;Длина;;Деформационный шов закрытый или заполненный мастикой;;0
39;Деформационный шов;Расстройство поддерживающей заполнение конструкции;Значительное повреждение. Работоспособность конструктивного элемента утрачена;;;;0;3;2;0;Длина;;Деформационный шов закрытый или заполненный мастикой;;0
40;Деформационный шов;Загрязнение пазов перемещения шва;Без конкретизации степени развития;;;;0;1;1;0;Длина;;Деформационный шов перекрытый, с полимерным компенсирующим профилем;;0
41;Деформационный шов;Отсутствует перекрывающий элемент;Без конкретизации степени развития;;;;3;3;2;0;Длина;;Деформационный шов перекрытый;;0
42;Деформационный шов;Заклинка перекрывающего элемента;Работоспособность конструкции ограничена;;;;1;2;2;0;Длина;;Деформационный шов перекрытый;;0
42;Деформационный шов;Заклинка перекрывающего элемента;Работоспособность конструкции утрачена;;;;3;3;2;0;Длина;;Деформационный шов перекрытый;;0
43;Деформационный шов;Расстройство конструкции перекрывающего элемента;Работоспособность конструкции сохраняется;;;;0;1;2;0;Длина пораженной части носителя дефекта;;Деформационный шов перекрытый;;0
43;Деформационный шов;Расстройство конструкции перекрывающего элемента;Работоспособность конструкции ограничена;;;;1;2;2;0;Длина пораженной части носителя дефекта;;Деформационный шов перекрытый;;0
43;Деформационный шов;Расстройство конструкции перекрывающего элемента;Работоспособность конструкции утрачена;;;;3;3;2;0;Длина пораженной части носителя дефекта;;Деформационный шов перекрытый;;0
44;Деформационный шов;Расстройство анкеровки перекрывающего элемента;Работоспособность конструкции сохраняется;;;;0;1;2;0;Длина;;Деформационный шов перекрытый;;0
44;Деформационный шов;Расстройство анкеровки перекрывающего элемента;Работоспособность конструкции ограничена;;;;1;2;2;0;Длина;;Деформационный шов перекрытый;;0
44;Деформационный шов;Расстройство анкеровки перекрывающего элемента;Работоспособность конструкции утрачена;;;;3;3;2;0;Длина;;Деформационный шов перекрытый;;0
45;Деформационный шов;Расстройство элементов окаймления шва;Работоспособность конструкции сохраняется;;;;0;1;2;0;Длина пораженной части носителя дефекта;;Деформационный шов перекрытый, с полимерным компенсирующим профилем;;0
45;Деформационный шов;Расстройство элементов окаймления шва;Работоспособность конструкции ограничена;;;;1;2;2;0;Длина пораженной части носителя дефекта;;Деформационный шов перекрытый, с полимерным компенсирующим профилем;;0
45;Деформационный шов;Расстройство элементов окаймления шва;Работоспособность конструкции утрачена;;;;3;3;2;0;Длина пораженной части носителя дефекта;;Деформационный шов перекрытый, с полимерным компенсирующим профилем;;0
