Код дефекта по каталогу;Группа;Название дефекта;Примечание;ед. изм.;нижняя граница;верхняя граница;Категории дефекта (Б);Категории дефекта (Д);Категории дефекта (Р);Категории дефекта (Г);Рекомендуемые дополняющие пояснения и параметры дефекта в фактических единицах или в % к размерам носителя дефекта;Материал элемента, конструкции носителя дефекта, причина появления и другие дополнительные пояснения к названию дефекта;Место расположения дефекта;Количественные параметры развития;Базовый
144;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствуют водоотводные трубки (при их необходимости);Без конкретизации степени развития;;;;1;1;2;0;Количество;;Система водоотвода: водоотводные трубки;;0
145;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Без конкретизации степени развития;;;;1;1;2;0;Название элемента, количество;;Система водоотвода: водоотводные трубки;;0
146;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Диаметр водоотводной трубки менее 150 мм;Без конкретизации степени развития;;;;1;1;2;0;Фактическое значение параметра, количество;;Система водоотвода: водоотводные трубки;;0
147;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Увеличенное расстояние между водоотводными трубками;Более 6 м при продольном уклоне покрытия до 5 о/оо;;;;1;1;2;0;Фактическое значение параметра;;Система водоотвода: водоотводные трубки;;0
147;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Увеличенное расстояние между водоотводными трубками;Более 12 м при продольном уклоне покрытия 5-10 о/оо;;;;1;1;2;0;Фактическое значение параметра;;Система водоотвода: водоотводные трубки;;0
148;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Верх водоотводной трубки выше поверхности прилегающего покрытия;Без конкретизации степени развития;;;;1;1;2;0;Количество;;Система водоотвода: водоотводные трубки;;0
149;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Закупорка водоотводного отверстия;Без конкретизации степени развития;;;;1;1;1;0;Количество;;Система водоотвода: водоотводные трубки;;0
150;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Не разделано монтажное отверстие водоотводной трубки;Без конкретизации степени развития;;;;0;1;2;0;Количество;;Система водоотвода: водоотводные трубки;;0
151;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство конструкции водоотводной трубки;Работоспособность конструкции сохраняется;;;;0;1;2;0;Количество;;Система водоотвода: водоотводные трубки;;0
151;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство конструкции водоотводной трубки;Работоспособность конструкции ограничена;;;;1;1;2;0;Количество;;Система водоотвода: водоотводные трубки;;0
152;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует дренажная система (при её необходимости);Без конкретизации степени развития;;;;0;1;2;0;Длина;;Система водоотвода: дренажная система;;0
153;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Без конкретизации степени развития;;;;0;1;2;0;Название элемента, количество;;Система водоотвода: дренажная система;;0
154;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Нарушение функционирования дренажной системы;Без конкретизации степени развития;;;;0;1;2;0;Длина;;Система водоотвода: дренажная система;;0
155;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует водонаправляющая конструкция (при её необходимости);Без конкретизации степени развития;;;;1;1;2;0;Длина;;Система водоотвода: водонаправляющие конструкции;;0
156;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Без конкретизации степени развития;;;;1;1;2;0;Название элемента, количество;;Система водоотвода: водонаправляющие конструкции;;0
157;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Недостаточный уклон водонаправляющей конструкции;Без конкретизации степени развития;;;;0;1;2;0;Фактическое значение параметра;;Система водоотвода: водонаправляющие конструкции;;0
158;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Закупорка водоотводного отверстия;Без конкретизации степени развития;;;;1;1;2;0;Количество;;Система водоотвода: водонаправляющие конструкции;;0
159;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство водонаправляющей конструкции;Работоспособность конструкции сохраняется;;;;0;1;2;0;Количество;;Система водоотвода: водонаправляющие конструкции;;0
159;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство водонаправляющей конструкции;Работоспособность конструкции ограничена;;;;1;1;2;0;Количество;;Система водоотвода: водонаправляющие конструкции;;0
160;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствуют водоотводные проемы (при их необходимости);Без конкретизации степени развития;;;;1;1;2;0;Количество;;Система водоотвода: водоотводные проемы ограждений ездового полотна;;0
161;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Нарушение функционирования водоотводного проема;Без конкретизации степени развития;;;;1;1;2;0;Количество;;Система водоотвода: водоотводные проемы ограждений ездового полотна;;0
162;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Недостаточное отверстие водоотводного проема;Без конкретизации степени развития;;;;1;1;2;0;Фактическое значение параметра, количество;;Система водоотвода: водоотводные проемы ограждений ездового полотна;;0
163;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Закупорка водоотводного отверстия;Без конкретизации степени развития;;;;1;1;1;0;Количество;;Система водоотвода: водоотводные проемы ограждений ездового полотна;;0
164;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует конструкция (при её необходимости);Без конкретизации степени развития;;;;0;1;2;0;Название элемента, количество;;Система водоотвода: защитные карнизные козырьки;;0
165;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство конструкции;Устойчивое положение. Работоспособность конструкции сохраняется;;;;0;1;2;0;Название элемента, количество;;Карнизный фасадный блок, Конструкции для размещения электроосветительного оборудования мостового полотна и пр.;;0
165;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство конструкции;Устойчивое положение. Работоспособность конструкции ограничена;;;;0;2;2;0;Название элемента, количество;;Карнизный фасадный блок, Конструкции для размещения электроосветительного оборудования мостового полотна и пр.;;0
165;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство конструкции;Угроза обрушения. Работоспособность конструкции утрачена;;;;4;4;2;0;Название элемента, количество;;Карнизный фасадный блок, Конструкции для размещения электроосветительного оборудования мостового полотна и пр.;;0
166;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство каркасной конструкции;Устойчивое положение. Работоспособность конструкции сохраняется;;;;0;1;2;0;Длина или площадь дефектного участка;;Защитная галерея прохожей части, шумозащитный экран;;0
166;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство каркасной конструкции;Устойчивое положение. Работоспособность конструкции ограничена;;;;1;2;2;0;Длина или площадь дефектного участка;;Защитная галерея прохожей части, шумозащитный экран;;0
166;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство каркасной конструкции;Угроза обрушения. Работоспособность конструкции утрачена;;;;4;4;2;0;Длина или площадь дефектного участка;;Защитная галерея прохожей части, шумозащитный экран;;0
167;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство покрывающей конструкции;Устойчивое положение. Работоспособность конструкции сохраняется;;;;0;1;2;0;Длина или площадь дефектного участка;;Защитная галерея прохожей части, шумозащитный экран;;0
167;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство покрывающей конструкции;Устойчивое положение. Работоспособность конструкции ограничена;;;;1;2;2;0;Длина или площадь дефектного участка;;Защитная галерея прохожей части, шумозащитный экран;;0
167;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Расстройство покрывающей конструкции;Угроза обрушения. Работоспособность конструкции утрачена;;;;3;3;2;0;Длина или площадь дефектного участка;;Защитная галерея прохожей части, шумозащитный экран;;0
168;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Несоответствие положения геометрической формы смонтированной конструкции проекту, геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Фактическое значение параметра;;Защитная галерея прохожей части, шумозащитный экран и пр.;;0
168;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Несоответствие положения геометрической формы смонтированной конструкции проекту, геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции ограничена;;;;1;2;2;0;Фактическое значение параметра;;Защитная галерея прохожей части, шумозащитный экран и пр.;;0
168;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Несоответствие положения геометрической формы смонтированной конструкции проекту, геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции утрачена;;;;4;4;2;0;Фактическое значение параметра;;Защитная галерея прохожей части, шумозащитный экран и пр.;;0
169;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции обеспечена;;;;0;1;0;0;Название элемента, количество;;Неосновные конструкции: Защитная галерея прохожей части, шумозащитный экран и пр.;;0
169;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции ограничена;;;;1;2;2;0;Название элемента, количество;;Неосновные конструкции: Защитная галерея прохожей части, шумозащитный экран и пр.;;0
169;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции утрачена;;;;4;4;2;0;Название элемента, количество;;Неосновные конструкции: Защитная галерея прохожей части, шумозащитный экран и пр.;;0
170;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Отсутствует система электроосвещения (при её необходимости);Без конкретизации степени развития;;;;2;0;3;0;Длина;;Электроосвещение мостового полотна;;0
171;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Электроосветительное оборудование не функционирует должным образом;Отдельные элементы;;;;1;0;1;0;Пояснение;;Электроосветительное оборудование;;0
171;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;Электроосветительное оборудование не функционирует должным образом;В массовом порядке;;;;2;0;1;0;Пояснение;;Электроосветительное оборудование;;0
171;Пролетное строение: мостовое полотно, мостовое полотно пешеходного моста: габариты проезжей и прохожей части, дорожная одежда, ограждения, водоотвод, защитные конструкции;4. Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;;;;;;;;;Пояснение;;Электроосветительное оборудование;;0
172;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие положения смонтированной конструкции проекту;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Основные несущие конструкции;;0
172;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие положения смонтированной конструкции проекту;Работоспособность конструкции ограничена;;;;0;2;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
172;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие положения смонтированной конструкции проекту;Работоспособность конструкции утрачена;;;;4;4;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
173;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Основные несущие конструкции;;0
173;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции ограничена;;;;0;2;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
173;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрических размеров конструкции проектным требованиям;Работоспособность конструкции утрачена;;;;4;4;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
174;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Основные несущие конструкции;;0
174;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции ограничена;;;;0;2;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
174;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрических размеров конструкции действующим нормативным требованиям;Работоспособность конструкции утрачена;;;;4;4;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
175;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Основные несущие конструкции;;0
175;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции ограничена;;;;0;2;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
175;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие геометрической формы конструкции проектным требованиям;Работоспособность конструкции утрачена;;;;4;4;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
176;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие деталей конструкции  нормативным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Основные несущие конструкции;;0
176;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие деталей конструкции  нормативным требованиям;Работоспособность конструкции ограничена;;;;0;2;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
176;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие деталей конструкции  нормативным требованиям;Работоспособность конструкции утрачена;;;;3;3;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
177;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ограничение свободы перемещений торцов смежных конструкций;Посторонние предметы в зазорах;;;;0;1;2;0;Пояснение несоответствия;;Пролетное строение, несущие конструкции мостового полотна, Несущие конструкции прохожей части;;0
177;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ограничение свободы перемещений торцов смежных конструкций;Взаимное упирание конструкций для температурного пролета до 24 м;;;;0;1;3;0;Пояснение несоответствия;;Пролетное строение, несущие конструкции мостового полотна, Несущие конструкции прохожей части;;0
177;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Ограничение свободы перемещений торцов смежных конструкций;Взаимное упирание конструкций для температурного пролета более 24 м;;;;0;2;3;0;Пояснение несоответствия;;Пролетное строение, несущие конструкции мостового полотна, Несущие конструкции прохожей части;;0
178;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции обеспечена;;;;0;1;0;0;Название элемента, количество;;Основные несущие конструкции;;0
178;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции ограничена;;;;0;2;3;1;Название элемента, количество;;Основные несущие конструкции;;0
178;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность конструкции утрачена;;;;4;4;3;1;Название элемента, количество;;Основные несущие конструкции;;0
178;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Несущая способность основной конструкции на уровне проектных нагрузок;;;;0;1;2;0;Название элемента, количество;;Основные несущие конструкции;;0
178;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Несущая способность основной конструкции ниже уровня проектных нагрузок;;;;0;2;2;1;Название элемента, количество;;Основные несущие конструкции;;0
178;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Отсутствует конструктивный элемент, предусмотренный проектом;Работоспособность основной конструкции утрачена;;;;4;4;3;1;Название элемента, количество;;Основные несущие конструкции;;0
179;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие примененных материалов действующим нормативным требованиям;Без конкретизации степени развития;;;;0;3;3;0;Пояснение несоответствия;;Основные конструкции;;0
180;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции обеспечена;;;;0;1;0;0;Пояснение несоответствия;;Основные несущие конструкции;;0
180;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции ограничена;;;;0;2;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
180;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Несоответствие примененных материалов проектным требованиям;Работоспособность конструкции утрачена;;;;4;4;3;1;Пояснение несоответствия;;Основные несущие конструкции;;0
181;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Загрязнение конструкций;Без конкретизации степени развития;;;;0;1;1;0;Площадь;;Пролетное строение, опора, сход пешеходный;;0
182;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Обрушение конструкции;Без конкретизации степени развития;;;;4;4;4;0;Пояснение;;Основные несущие конструкции: пролетное строение, несущие конструкции мостового полотна, несущие конструкции прохожей части, опора, сход пешеходный и пр.;;0
183;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Обводнение конструкций;Без конкретизации степени развития;;;;0;1;2;0;Площадь пораженной части носителя дефекта;Металлические конструкции, Деревянные конструкции;Основные конструкции;;0
183;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Обводнение конструкций;Натекание на поверхность;;;;0;1;2;0;Площадь пораженной части носителя дефекта;Металлические конструкции, Деревянные конструкции;Основные конструкции;;0
183;Пролетное строение: несущие конструкции мостового полотна, главные несущие конструкции;Обводнение конструкций;Сквозная фильтрация в зоне арматуры стержневой;;;;0;2;2;0;Площадь пораженной части носителя дефекта;Металлические конструкции, Деревянные конструкции;Основные конструкции;;0
